Job title,Company,Scrapped,URL
Data Analyst,Disney Entertainment,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DEZRRRhBTs-K5UJzqAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst/Engineer,PragerU,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DwP6VzeaFNgfb-eh7AAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,Tax Rise,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3Dbs2OaYaQb2bTSs5kAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,Insight Global,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3Dx00gaiOvbCopvY2-AAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,US Tech Solutions,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DhqDhGlwQyGincVwgAAAAAA%3D%3D&vssid=jobs-detail-viewer
"IT Analyst, Business Intelligence/Data Warehouse - USC Care MSO Business Intelligence - Full Time 8 Hour Days (Exempt)(Non-Union)",Keck Medicine of USC,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DIpoYYj5xFqWZhbzZAAAAAA%3D%3D&vssid=jobs-detail-viewer
Data Analyst,InSite Property Group,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DMKMAGu53G572kztcAAAAAA%3D%3D&vssid=jobs-detail-viewer
Entry Level Data Analyst ( Remote),SynergisticIT,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3DLCzz6N4uZZfujGIjAAAAAA%3D%3D&vssid=jobs-detail-viewer
Business Data Analyst - Need Only Locals to Bay Area CA,HAN IT Staffing Inc.,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3Dye55H8BvzbaLh7OTAAAAAA%3D%3D&vssid=jobs-detail-viewer
Senior Data Analyst,Face Reality,1,https://www.google.com/search?q=data+analyst+jobs+california&sca_esv=4b1ed64a7070598d&sca_upv=1&udm=8&ei=DSn6ZtmcOOGB0PEPmpXq0Qo&uact=5&oq=data+analyst+jobs+california&gs_lp=Egxnd3Mtd2l6LXNlcnAiHGRhdGEgYW5hbHlzdCBqb2JzIGNhbGlmb3JuaWEyCxAAGIAEGJECGIoFMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiyF1DFBVjPD3ABeAGQAQCYAV2gAesFqgECMTC4AQPIAQD4AQGYAgugAosGwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHAjExoAeQSQ&sclient=gws-wiz-serp#vhid=vt%3D20/docid%3Dz0esx5BBEeJ4oS9mAAAAAA%3D%3D&vssid=jobs-detail-viewer
