Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
Disney Entertainment,CA,Company Website,Full-time,Any Degree,3,SQL,125200.0,Data Analyst
Tax Rise,CA,Company Website,Full-time,Any Degree,2,"SQL, Azure, Power BI",87500.0,Data Analyst
PragerU,CA,LinkedIn,Full-time,Any Degree,4,"Python, SQL, Analytics, Business Intelligence, Excel",150000.0,Data Engineer
Disney Entertainment,CA,Company Website,Full-time,Any Degree,3,SQL,125200.0,Data Analyst
Keck Medicine of USC,CA,Company Website,Full-time,Bachelors,4,"SQL, ETL",158230.0,Business Intelligence Analyst
ALOIS Solutions,CA,LinkedIn,Part-time,Any Degree,5,"SQL, Power BI",87360.0,Data Analyst
US Tech Solutions,CA,LinkedIn,Part-time,Any Degree,3,"Analytics, Excel, Data Visualization, Visualization",104000.0,Data Analyst
Keck Medicine of USC,CA,Company Website,Full-time,Bachelors,4,"SQL, ETL",158230.0,Business Intelligence Analyst
US Tech Solutions,CA,LinkedIn,Part-time,Any Degree,3,"Analytics, Excel, Data Visualization, Visualization",104000.0,Data Analyst
Face Reality,CA,LinkedIn,Full-time,Any Degree,7,"SQL, Data Analytics, Analytics, Business Intelligence, Excel, Visualization",291200.0,Data Analyst
Title Nine,CA,Company Website,Full-time,Bachelors,3,Excel,100000.0,Data Analyst
Collabera,CA,ZipRecruiter,Part-time,Bachelors,1,"SQL, Excel",100000.0,Data Analyst
Walker & Dunlop,CA,Company Website,Full-time,Bachelors,5.0,,75000.0,Data Analyst
QBurst,CA,Company Website,Full-time,Any Degree,2,SQL,91520.0,Business Analyst
Lucid,CA,Company Website,Full-time,Any Degree,3,"Python, Tableau, Redshift, AWS, Data Analytics, Analytics, Business Intelligence",100000.0,Data Analyst
Pinterest,CA,ZipRecruiter,Full-time,Any Degree,3,"Data Analytics, Analytics",200000.0,Data Analyst
GovCIO,CA,LinkedIn,Full-time,Any Degree,3,SQL,125000.0,Data Analyst
Stanford University,CA,Company Website,Full-time,Bachelors,5.0,"Tableau, Excel, Data Visualization, Visualization",126000.0,Data Analyst
DDG,CA,ZipRecruiter,Full-time,Bachelors,2,Analytics,100000.0,Data Analyst
Blizzard,CA,Company Website,Full-time,Any Degree,4,"SQL, Big Data, Data Analytics, Analytics",100000.0,Data Analyst
Ledgent Technology,CA,Glassdoor,Part-time,Bachelors,5,Excel,100000.0,Data Analyst
Laserfiche,CA,LinkedIn,Full-time,Bachelors,3,"Tableau, Analytics, Power BI, Excel",80000.0,Data Analyst
Marin City Health and Wellness Center,CA,Company Website,Full-time,Any Degree,2,"Analytics, Excel",100000.0,Data Analyst
knightsbridgesolutions,CA,Company Website,Full-time,Any Degree,5.0,"SQL, Analytics, Excel, Visualization",100000.0,Data Analyst
"CACI International, Inc.",CA,ZipRecruiter,Full-time,Any Degree,2,Tableau,106300.0,Data Analyst
Lyft,CA,LinkedIn,Full-time,Any Degree,5,Analytics,142500.0,Data Analyst
Workday,CA,Company Website,Full-time,Any Degree,3,Analytics,100000.0,Data Analyst
Neeeon,CA,Company Website,Full-time,Bachelors,5.0,"SQL, Excel",8320.0,Data Analyst
North East Medical Services,CA,Glassdoor,Full-time,Bachelors,5,"SQL, Business Intelligence",100000.0,Data Analyst
VisArts,CA,Company Website,Part-time,Bachelors,4,"Tableau, Analytics",100000.0,Data Analyst
Lorven Technologies Inc.,CA,LinkedIn,Part-time,Any Degree,8,"Python, SQL, Data Analytics, Analytics",100000.0,Data Analyst
Volt,CA,ZipRecruiter,Full-time,Any Degree,5.0,"Excel, Data Visualization, Visualization",72800.0,Data Analyst
